,title_calender,year,month,day,link_calender,description,category_calender,title_year,link_year,category_year
0,زمین‌لرزه ۴ فروردین ۱۴۰۲ آذربایجان غربی,1402,1,4,https://fa.wikipedia.org/wiki/%D8%B2%D9%85%DB%8C%D9%86%E2%80%8C%D9%84%D8%B1%D8%B2%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C_%DB%B1%DB%B4%DB%B0%DB%B1_%D8%A2%D8%B0%D8%B1%D8%A8%D8%A7%DB%8C%D8%AC%D8%A7%D9%86_%D8%BA%D8%B1%D8%A8%DB%8C,,Event,1402 خویموجب مصدومیت بیش از 150 نفر شد.,https://fa.wikipedia.org/wiki/%D8%B2%D9%85%DB%8C%D9%86%E2%80%8C%D9%84%D8%B1%D8%B2%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C_%DB%B1%DB%B4%DB%B0%DB%B1_%D8%A2%D8%B0%D8%B1%D8%A8%D8%A7%DB%8C%D8%AC%D8%A7%D9%86_%D8%BA%D8%B1%D8%A8%DB%8C,Event
1,رقابت ۵ فروردین ۱۳۹۵ تیم ملی فوتبال ایران با تیم ملی فوتبال هند در مرحله مقدماتی جام جهانی فوتبال ۲۰۱۸ (آسیا) و جام ملت‌های آسیا ۲۰۱۹,1395,1,5,https://fa.wikipedia.org/wiki/%D8%AF%DB%8C%D8%AF%D8%A7%D8%B1%D9%87%D8%A7%DB%8C_%D9%81%D9%88%D8%AA%D8%A8%D8%A7%D9%84_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D9%87%D9%86%D8%AF,,Event,وزارت دادگستری ایالات متحده آمریکابرای 7 ایرانی به اتهام حمله سایبری به یک سد کوچک در اطرافنیویورکو چند بانک آمریکایی، کیفرخواست صادر کرد.,https://fa.wikipedia.org/wiki/%D9%88%D8%B2%D8%A7%D8%B1%D8%AA_%D8%AF%D8%A7%D8%AF%DA%AF%D8%B3%D8%AA%D8%B1%DB%8C_%D8%A7%DB%8C%D8%A7%D9%84%D8%A7%D8%AA_%D9%85%D8%AA%D8%AD%D8%AF%D9%87_%D8%A2%D9%85%D8%B1%DB%8C%DA%A9%D8%A7,Event
2,بازگشایی رسمی کنسول‌گری افغانستان در مشهد,1301,1,6,https://fa.wikipedia.org/wiki/%DA%A9%D9%86%D8%B3%D9%88%D9%84%E2%80%8C%DA%AF%D8%B1%DB%8C_%D8%A7%D9%81%D8%BA%D8%A7%D9%86%D8%B3%D8%AA%D8%A7%D9%86_%D8%AF%D8%B1_%D9%85%D8%B4%D9%87%D8%AF,,Event,– پرچمافغانستاندر کنسولگری این کشور درمشهدبالا رفت.,https://fa.wikipedia.org/wiki/%D8%A7%D9%81%D8%BA%D8%A7%D9%86%D8%B3%D8%AA%D8%A7%D9%86,Event
3,بازگشایی رسمی کنسول‌گری افغانستان در مشهد,1301,1,6,https://fa.wikipedia.org/wiki/%DA%A9%D9%86%D8%B3%D9%88%D9%84%E2%80%8C%DA%AF%D8%B1%DB%8C_%D8%A7%D9%81%D8%BA%D8%A7%D9%86%D8%B3%D8%AA%D8%A7%D9%86_%D8%AF%D8%B1_%D9%85%D8%B4%D9%87%D8%AF,,Event,–روزنامه اقدامدر سرمقالهٔ خود ایرانیان را تشویق به حمایت از فلسطین در برابر ظلم انگلستان و یهود کرد.,https://fa.wikipedia.org/wiki/%D8%A7%D9%82%D8%AF%D8%A7%D9%85_(%D8%B1%D9%88%D8%B2%D9%86%D8%A7%D9%85%D9%87),Event
4,برگزاری نخستین دوره جشن جهانی نوروز در تهران,1389,1,7,https://fa.wikipedia.org/wiki/%D8%AC%D8%B4%D9%86_%D8%AC%D9%87%D8%A7%D9%86%DB%8C_%D9%86%D9%88%D8%B1%D9%88%D8%B2,,Event,آغاز نخستین دورهٔجشن جهانی نوروزدرایران,https://fa.wikipedia.org/wiki/%D8%AC%D8%B4%D9%86_%D8%AC%D9%87%D8%A7%D9%86%DB%8C_%D9%86%D9%88%D8%B1%D9%88%D8%B2,Event
5,موج دوم سیل ۱۳۹۸ جنوب و غرب ایران,1398,1,11,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D9%84_%DB%B1%DB%B3%DB%B9%DB%B8_%D8%AC%D9%86%D9%88%D8%A8_%D9%88_%D8%BA%D8%B1%D8%A8_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,,Event,تظاهرات 2019 هنگ کنگ,https://fa.wikipedia.org/wiki/%D8%AA%D8%B8%D8%A7%D9%87%D8%B1%D8%A7%D8%AA_%DB%B2%DB%B0%DB%B1%DB%B9_%D9%87%D9%86%DA%AF_%DA%A9%D9%86%DA%AF,Event
6,آغاز موج دوم سیل ۱۳۹۸ لرستان,1398,1,11,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D9%84_%DB%B1%DB%B3%DB%B9%DB%B8_%D9%84%D8%B1%D8%B3%D8%AA%D8%A7%D9%86,,Event,تظاهرات 2019 هنگ کنگ,https://fa.wikipedia.org/wiki/%D8%AA%D8%B8%D8%A7%D9%87%D8%B1%D8%A7%D8%AA_%DB%B2%DB%B0%DB%B1%DB%B9_%D9%87%D9%86%DA%AF_%DA%A9%D9%86%DA%AF,Event
7,برگزاری همه‌پرسی نظام جمهوری اسلامی در ایران,1358,1,12,https://fa.wikipedia.org/wiki/%D9%87%D9%85%D9%87%E2%80%8C%D9%BE%D8%B1%D8%B3%DB%8C_%D9%86%D8%B8%D8%A7%D9%85_%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C_%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C_%D8%AF%D8%B1_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,,Event,همه پرسی نظام جمهوری اسلامی در ایرانو رای آری 98٫2 درصد شرکت کنندگان.,https://fa.wikipedia.org/wiki/%D9%87%D9%85%D9%87%E2%80%8C%D9%BE%D8%B1%D8%B3%DB%8C_%D9%86%D8%B8%D8%A7%D9%85_%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C_%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C_%D8%AF%D8%B1_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,Event
8,حمله هوایی به کنسولگری ایران در دمشق,1403,1,13,https://fa.wikipedia.org/wiki/%D8%AD%D9%85%D9%84%D9%87_%D9%87%D9%88%D8%A7%DB%8C%DB%8C_%D8%A8%D9%87_%DA%A9%D9%86%D8%B3%D9%88%D9%84%DA%AF%D8%B1%DB%8C_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D8%AF%D8%B1_%D8%AF%D9%85%D8%B4%D9%82,,Event,حمله به کنسولگری ایران در دمشقتوسطاسرائیلو کشته شدن چند تن از نیروهایسپاه پاسداراندر حمله هوایی اسرائیل.,https://fa.wikipedia.org/wiki/%D8%AD%D9%85%D9%84%D9%87_%D8%A8%D9%87_%DA%A9%D9%86%D8%B3%D9%88%D9%84%DA%AF%D8%B1%DB%8C_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D8%AF%D8%B1_%D8%AF%D9%85%D8%B4%D9%82,Event
9,شعبه دوم بازپرسی شهرستان رامهرمز با انتشار یک پرونده عادل کلاه‌کج را به همراه چند نفر به اختلال‌گری در اقتصاد ایران متهم کرد,1401,1,15,https://fa.wikipedia.org/wiki/%D8%B9%D8%A7%D8%AF%D9%84_%DA%A9%D9%84%D8%A7%D9%87%E2%80%8C%DA%A9%D8%AC,,Event,آغازاعتراضات 1401 کشاورزان ایران,https://fa.wikipedia.org/wiki/%D8%A7%D8%B9%D8%AA%D8%B1%D8%A7%D8%B6%D8%A7%D8%AA_%DB%B1%DB%B4%DB%B0%DB%B1_%DA%A9%D8%B4%D8%A7%D9%88%D8%B1%D8%B2%D8%A7%D9%86_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,Event
10,آغاز اعتراضات ۱۴۰۱ کشاورزان ایران,1401,1,15,https://fa.wikipedia.org/wiki/%D8%A7%D8%B9%D8%AA%D8%B1%D8%A7%D8%B6%D8%A7%D8%AA_%DB%B1%DB%B4%DB%B0%DB%B1_%DA%A9%D8%B4%D8%A7%D9%88%D8%B1%D8%B2%D8%A7%D9%86_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,,Event,آغازاعتراضات 1401 کشاورزان ایران,https://fa.wikipedia.org/wiki/%D8%A7%D8%B9%D8%AA%D8%B1%D8%A7%D8%B6%D8%A7%D8%AA_%DB%B1%DB%B4%DB%B0%DB%B1_%DA%A9%D8%B4%D8%A7%D9%88%D8%B1%D8%B2%D8%A7%D9%86_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,Event
11,سومین انتخابات ریاست جمهوری افغانستان,1393,1,16,https://fa.wikipedia.org/wiki/%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D8%A7%D8%AA_%D8%B1%DB%8C%D8%A7%D8%B3%D8%AA%E2%80%8C%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C_%D8%A7%D9%81%D8%BA%D8%A7%D9%86%D8%B3%D8%AA%D8%A7%D9%86_(%DB%B1%DB%B3%DB%B9%DB%B3),,Event,/حمل. برگزاریسومین انتخابات ریاست جمهوری افغانستانکه به دور دوم کشیده شد.,https://fa.wikipedia.org/wiki/%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D8%A7%D8%AA_%D8%B1%DB%8C%D8%A7%D8%B3%D8%AA%E2%80%8C%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C_%D8%A7%D9%81%D8%BA%D8%A7%D9%86%D8%B3%D8%AA%D8%A7%D9%86_(%DB%B1%DB%B3%DB%B9%DB%B3),Event
12,زمین‌لرزه ۱۳۹۶ فریمان,1396,1,16,https://fa.wikipedia.org/wiki/%D8%B2%D9%85%DB%8C%D9%86%E2%80%8C%D9%84%D8%B1%D8%B2%D9%87_%DB%B1%DB%B3%DB%B9%DB%B6_%D9%81%D8%B1%DB%8C%D9%85%D8%A7%D9%86,,Event,زلزله 6 ریشتری در خراسان رضوی,https://fa.wikipedia.org/wiki/%D8%B2%D9%85%DB%8C%D9%86%E2%80%8C%D9%84%D8%B1%D8%B2%D9%87_%DB%B1%DB%B3%DB%B9%DB%B6_%D8%AE%D8%B1%D8%A7%D8%B3%D8%A7%D9%86_%D8%B1%D8%B6%D9%88%DB%8C,Event
13,حادثه ۱۴۰۱ حرم امام رضا,1401,1,16,https://fa.wikipedia.org/wiki/%D8%AD%D8%A7%D8%AF%D8%AB%D9%87_%DB%B1%DB%B4%DB%B0%DB%B1_%D8%AD%D8%B1%D9%85_%D8%A7%D9%85%D8%A7%D9%85_%D8%B1%D8%B6%D8%A7,,Event,حادثه 1401 حرم امام رضا,https://fa.wikipedia.org/wiki/%D8%AD%D8%A7%D8%AF%D8%AB%D9%87_%DB%B1%DB%B4%DB%B0%DB%B1_%D8%AD%D8%B1%D9%85_%D8%A7%D9%85%D8%A7%D9%85_%D8%B1%D8%B6%D8%A7,Event
14,حمله به مقرهای نظامی چابهار، راسک و سرباز,1403,1,16,https://fa.wikipedia.org/wiki/%D8%AD%D9%85%D9%84%D9%87_%D8%A8%D9%87_%D9%85%D9%82%D8%B1%D9%87%D8%A7%DB%8C_%D9%86%D8%B8%D8%A7%D9%85%DB%8C_%DA%86%D8%A7%D8%A8%D9%87%D8%A7%D8%B1%D8%8C_%D8%B1%D8%A7%D8%B3%DA%A9_%D9%88_%D8%B3%D8%B1%D8%A8%D8%A7%D8%B2,,Event,حمله به مقرهای نظامی چابهار، راسک و سربازبلوچستان ایران به صورت تهاجمی، گسترده و بی سابقه توسطجیش العدلعلیه نیروهایسپاه پاسداران.,https://fa.wikipedia.org/wiki/%D8%AD%D9%85%D9%84%D9%87_%D8%A8%D9%87_%D9%85%D9%82%D8%B1%D9%87%D8%A7%DB%8C_%D9%86%D8%B8%D8%A7%D9%85%DB%8C_%DA%86%D8%A7%D8%A8%D9%87%D8%A7%D8%B1%D8%8C_%D8%B1%D8%A7%D8%B3%DA%A9_%D9%88_%D8%B3%D8%B1%D8%A8%D8%A7%D8%B2,Event
15,سیل ۱۳۹۶ شمال غرب ایران,1396,1,25,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D9%84_%DB%B1%DB%B3%DB%B9%DB%B6_%D8%B4%D9%85%D8%A7%D9%84_%D8%BA%D8%B1%D8%A8_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,,Event,سیل در شمال غرب ایران با 40 کشته و زخمی,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D9%84_%DB%B1%DB%B3%DB%B9%DB%B6_%D8%B4%D9%85%D8%A7%D9%84_%D8%BA%D8%B1%D8%A8_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,Event
16,توقیف کشتی ام‌اس‌سی آریس توسط ایران,1403,1,25,https://fa.wikipedia.org/wiki/%D8%AA%D9%88%D9%82%DB%8C%D9%81_%DA%A9%D8%B4%D8%AA%DB%8C_%D8%A7%D9%85%E2%80%8C%D8%A7%D8%B3%E2%80%8C%D8%B3%DB%8C_%D8%A2%D8%B1%DB%8C%D8%B3_%D8%AA%D9%88%D8%B3%D8%B7_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,,Event,اداره فدرال هوانوردی آلمان به خطوط هوایی هشدار داد امکان سرنگونی در آسمان ایران وجود دارد و اشاره کرد سناریو حمله غیرعمدی با سلاح های ضدهوایی از سوی جمهوری اسلامی وجود دارد.,#cite_note-13,Event
17,حمله هوایی ایران به اسرائیل,1403,1,25,https://fa.wikipedia.org/wiki/%D8%AD%D9%85%D9%84%D9%87_%D8%A2%D9%88%D8%B1%DB%8C%D9%84_%DB%B2%DB%B0%DB%B2%DB%B4_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D8%A8%D9%87_%D8%A7%D8%B3%D8%B1%D8%A7%D8%A6%DB%8C%D9%84,,Event,اداره فدرال هوانوردی آلمان به خطوط هوایی هشدار داد امکان سرنگونی در آسمان ایران وجود دارد و اشاره کرد سناریو حمله غیرعمدی با سلاح های ضدهوایی از سوی جمهوری اسلامی وجود دارد.,#cite_note-13,Event
18,برگزاری انتخابات دوره دوم مجلس شورای اسلامی,1363,1,26,https://fa.wikipedia.org/wiki/%D8%AF%D9%88%D8%B1%D9%87_%D8%AF%D9%88%D9%85_%D9%85%D8%AC%D9%84%D8%B3_%D8%B4%D9%88%D8%B1%D8%A7%DB%8C_%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C,,Event,: انتخاباتدومین دوره مجلس شورای اسلامی,https://fa.wikipedia.org/wiki/%D9%85%D8%AC%D9%84%D8%B3_%D8%AF%D9%88%D9%85_(%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C_%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C),Event
19,کشته شدن دو شهروند ایرانی توسط مرزبانی ترکیه,1400,1,26,https://fa.wikipedia.org/wiki/%DA%A9%D8%B4%D8%AA%D9%87_%D8%B4%D8%AF%D9%86_%D8%AF%D9%88_%D8%B4%D9%87%D8%B1%D9%88%D9%86%D8%AF_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%DB%8C_%D8%AA%D9%88%D8%B3%D8%B7_%D9%85%D8%B1%D8%B2%D8%A8%D8%A7%D9%86%DB%8C_%D8%AA%D8%B1%DA%A9%DB%8C%D9%87,,Event,کشته شدن دو مرزبان هنگ مرزی سراوان,#cite_note-iwzlm-13,Event
20,عروسکها,1346,1,28,https://fa.wikipedia.org/wiki/%D8%B9%D8%B1%D9%88%D8%B3%DA%A9%E2%80%8C%D9%87%D8%A7_(%D8%A8%D9%87%D8%B1%D8%A7%D9%85_%D8%A8%DB%8C%D8%B6%D8%A7%DB%8C%DB%8C),,Event,نمایش تلویزیونیعروسکها، نخستین کارِبهرام بیضایی، نخستین بار ازتلویزیون ملی ایرانپخش شد.,https://fa.wikipedia.org/wiki/%D8%B9%D8%B1%D9%88%D8%B3%DA%A9%E2%80%8C%D9%87%D8%A7_(%D8%A8%D9%87%D8%B1%D8%A7%D9%85_%D8%A8%DB%8C%D8%B6%D8%A7%DB%8C%DB%8C),Event
21,حمله اسرائیل به ایران,1403,1,31,https://fa.wikipedia.org/wiki/%D8%AD%D9%85%D9%84%D9%87_%D8%A7%D8%B3%D8%B1%D8%A7%D8%A6%DB%8C%D9%84_%D8%A8%D9%87_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,,Event,حمله اسرائیل به ایران,https://fa.wikipedia.org/wiki/%D8%AD%D9%85%D9%84%D9%87_%D8%A7%D8%B3%D8%B1%D8%A7%D8%A6%DB%8C%D9%84_%D8%A8%D9%87_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,Event
