title,year,month,day,link,description,category
رقابت ۱۵ فروردین ۱۳۵۶ تیم ملی فوتبال ایران با تیم ملی فوتبال سوریه در مرحله مقدماتی جام جهانی فوتبال ۱۹۷۸ (آسیا و اقیانوسیه),1356,1,15,https://fa.wikipedia.org/wiki/%D8%AF%DB%8C%D8%AF%D8%A7%D8%B1%D9%87%D8%A7%DB%8C_%D9%81%D9%88%D8%AA%D8%A8%D8%A7%D9%84_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%B3%D9%88%D8%B1%DB%8C%D9%87,,Event
عملیات اچ۳,1360,1,15,https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%D8%A7%DA%86%DB%B3,,Event
شعبه دوم بازپرسی شهرستان رامهرمز با انتشار یک پرونده عادل کلاه‌کج را به همراه چند نفر به اختلال‌گری در اقتصاد ایران متهم کرد,1401,1,15,https://fa.wikipedia.org/wiki/%D8%B9%D8%A7%D8%AF%D9%84_%DA%A9%D9%84%D8%A7%D9%87%E2%80%8C%DA%A9%D8%AC,,Event
آغاز اعتراضات ۱۴۰۱ کشاورزان ایران,1401,1,15,https://fa.wikipedia.org/wiki/%D8%A7%D8%B9%D8%AA%D8%B1%D8%A7%D8%B6%D8%A7%D8%AA_%DB%B1%DB%B4%DB%B0%DB%B1_%DA%A9%D8%B4%D8%A7%D9%88%D8%B1%D8%B2%D8%A7%D9%86_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,,Event
آغاز قیام خیابانی,1299,1,16,https://fa.wikipedia.org/wiki/%D9%82%DB%8C%D8%A7%D9%85_%D8%AE%DB%8C%D8%A7%D8%A8%D8%A7%D9%86%DB%8C,,Event
ثبت رسمی خانه آیت‌الله مدرس با شماره ثبت ملی ۱۹۷۴ به‌عنوان یکی از آثار ملی ایران,1377,1,16,https://fa.wikipedia.org/wiki/%D8%AE%D8%A7%D9%86%D9%87_%D8%A2%DB%8C%D8%AA%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D9%85%D8%AF%D8%B1%D8%B3_(%D8%A7%D8%B1%D8%AF%D8%B3%D8%AA%D8%A7%D9%86),,Event
سومین انتخابات ریاست جمهوری افغانستان,1393,1,16,https://fa.wikipedia.org/wiki/%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D8%A7%D8%AA_%D8%B1%DB%8C%D8%A7%D8%B3%D8%AA%E2%80%8C%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C_%D8%A7%D9%81%D8%BA%D8%A7%D9%86%D8%B3%D8%AA%D8%A7%D9%86_(%DB%B1%DB%B3%DB%B9%DB%B3),,Event
زمین‌لرزه ۱۳۹۶ فریمان,1396,1,16,https://fa.wikipedia.org/wiki/%D8%B2%D9%85%DB%8C%D9%86%E2%80%8C%D9%84%D8%B1%D8%B2%D9%87_%DB%B1%DB%B3%DB%B9%DB%B6_%D9%81%D8%B1%DB%8C%D9%85%D8%A7%D9%86,,Event
حادثه ۱۴۰۱ حرم امام رضا,1401,1,16,https://fa.wikipedia.org/wiki/%D8%AD%D8%A7%D8%AF%D8%AB%D9%87_%DB%B1%DB%B4%DB%B0%DB%B1_%D8%AD%D8%B1%D9%85_%D8%A7%D9%85%D8%A7%D9%85_%D8%B1%D8%B6%D8%A7,,Event
حمله به مقرهای نظامی چابهار، راسک و سرباز,1403,1,16,https://fa.wikipedia.org/wiki/%D8%AD%D9%85%D9%84%D9%87_%D8%A8%D9%87_%D9%85%D9%82%D8%B1%D9%87%D8%A7%DB%8C_%D9%86%D8%B8%D8%A7%D9%85%DB%8C_%DA%86%D8%A7%D8%A8%D9%87%D8%A7%D8%B1%D8%8C_%D8%B1%D8%A7%D8%B3%DA%A9_%D9%88_%D8%B3%D8%B1%D8%A8%D8%A7%D8%B2,,Event
شیخ محمد خیابانی,1299,1,17,https://fa.wikipedia.org/wiki/%D8%B4%DB%8C%D8%AE_%D9%85%D8%AD%D9%85%D8%AF_%D8%AE%DB%8C%D8%A7%D8%A8%D8%A7%D9%86%DB%8C,,Event
میرزا کوچک خان جنگلی,1298,1,18,https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%B1%D8%B2%D8%A7_%DA%A9%D9%88%DA%86%DA%A9_%D8%AE%D8%A7%D9%86_%D8%AC%D9%86%DA%AF%D9%84%DB%8C,,Event
تبریز,1299,1,18,https://fa.wikipedia.org/wiki/%D8%AA%D8%A8%D8%B1%DB%8C%D8%B2,,Event
رضا پهلوی,1303,1,18,https://fa.wikipedia.org/wiki/%D8%B1%D8%B6%D8%A7%D8%B4%D8%A7%D9%87,,Event
فضل‌الله زاهدی,1334,1,18,https://fa.wikipedia.org/wiki/%D9%81%D8%B6%D9%84%E2%80%8C%D8%A7%D9%84%D9%84%D9%87_%D8%B2%D8%A7%D9%87%D8%AF%DB%8C,,Event
جنگ ایران و عراق,1366,1,18,https://fa.wikipedia.org/wiki/%D8%AC%D9%86%DA%AF_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%B9%D8%B1%D8%A7%D9%82,,Event
آغاز برگزاری کنفرانس برلین,1379,1,19,https://fa.wikipedia.org/wiki/%DA%A9%D9%86%D9%81%D8%B1%D8%A7%D9%86%D8%B3_%D8%A8%D8%B1%D9%84%DB%8C%D9%86,,Event
قطع رسمی روابط سیاسی ایالات متحده آمریکا و ایران,1359,1,20,https://fa.wikipedia.org/wiki/%D8%B1%D9%88%D8%A7%D8%A8%D8%B7_%D8%A7%DB%8C%D8%A7%D9%84%D8%A7%D8%AA_%D9%85%D8%AA%D8%AD%D8%AF%D9%87_%D8%A2%D9%85%D8%B1%DB%8C%DA%A9%D8%A7_%D9%88_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,,Event
آزادسازی ۲۰ فروردین ۱۳۶۰ قصر شیرین از نظامیان عراق,1360,1,20,https://fa.wikipedia.org/wiki/%D9%82%D8%B5%D8%B1_%D8%B4%DB%8C%D8%B1%DB%8C%D9%86,,Event
عملیات کربلای ۹,1366,1,20,https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%DA%A9%D8%B1%D8%A8%D9%84%D8%A7%DB%8C_%DB%B9,,Event
زمین‌لرزه ۱۳۹۲ دشتی,1392,1,20,https://fa.wikipedia.org/wiki/%D8%B2%D9%85%DB%8C%D9%86%E2%80%8C%D9%84%D8%B1%D8%B2%D9%87_%DB%B1%DB%B3%DB%B9%DB%B2_%D8%AF%D8%B4%D8%AA%DB%8C,,Event
استقلال تهران,1349,1,21,https://fa.wikipedia.org/wiki/%D8%A7%D8%B3%D8%AA%D9%82%D9%84%D8%A7%D9%84_%D8%AA%D9%87%D8%B1%D8%A7%D9%86,,Event
زمین‌لرزه ۱۳۵۱ قیر و کارزین,1351,1,21,https://fa.wikipedia.org/wiki/%D8%B2%D9%85%DB%8C%D9%86%E2%80%8C%D9%84%D8%B1%D8%B2%D9%87_%DB%B1%DB%B3%DB%B5%DB%B1_%D9%82%DB%8C%D8%B1_%D9%88_%DA%A9%D8%A7%D8%B1%D8%B2%DB%8C%D9%86,,Event
بنیان‌گذاری بنیاد مسکن انقلاب اسلامی,1358,1,21,https://fa.wikipedia.org/wiki/%D8%A8%D9%86%DB%8C%D8%A7%D8%AF_%D9%85%D8%B3%DA%A9%D9%86_%D8%A7%D9%86%D9%82%D9%84%D8%A7%D8%A8_%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C,,Event
حادثه ۱۴۰۰ نطنز,1400,1,21,https://fa.wikipedia.org/wiki/%D8%AD%D8%A7%D8%AF%D8%AB%D9%87_%DB%B1%DB%B4%DB%B0%DB%B0_%D9%86%D8%B7%D9%86%D8%B2,,Event
رقابت ۲۳ فروردین ۱۳۷۹ تیم ملی فوتبال ایران با تیم ملی فوتبال سوریه در جام ملت‌های آسیا ۲۰۰۰,1379,1,23,https://fa.wikipedia.org/wiki/%D8%AF%DB%8C%D8%AF%D8%A7%D8%B1%D9%87%D8%A7%DB%8C_%D9%81%D9%88%D8%AA%D8%A8%D8%A7%D9%84_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%B3%D9%88%D8%B1%DB%8C%D9%87,,Event
حادثه ۲۳ فروردین ۱۳۸۶ هواگرد آموزشی,1386,1,23,https://fa.wikipedia.org/wiki/%D9%81%D9%87%D8%B1%D8%B3%D8%AA_%D8%B3%D8%A7%D9%86%D8%AD%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C_%D9%87%D9%88%D8%A7%DB%8C%DB%8C_%D8%AF%D8%B1_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,,Event
انحلال سازمان مجاهدین انقلاب اسلامی ایران,1389,1,23,https://fa.wikipedia.org/wiki/%D8%B3%D8%A7%D8%B2%D9%85%D8%A7%D9%86_%D9%85%D8%AC%D8%A7%D9%87%D8%AF%DB%8C%D9%86_%D8%A7%D9%86%D9%82%D9%84%D8%A7%D8%A8_%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,,Event
آغاز مذاکرات غیرمستقیم ایران و آمریکا با میانجیگری عمان,1404,1,23,https://fa.wikipedia.org/wiki/%D9%85%D8%B0%D8%A7%DA%A9%D8%B1%D8%A7%D8%AA_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D9%88_%D8%A2%D9%85%D8%B1%DB%8C%DA%A9%D8%A7_%DB%B2%DB%B0%DB%B2%DB%B5,,Event
آغاز سومین سفر ناصرالدین‌شاه به اروپا,1268,1,24,https://fa.wikipedia.org/wiki/%D8%B3%D9%81%D8%B1%D9%87%D8%A7%DB%8C_%D9%86%D8%A7%D8%B5%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86%E2%80%8C%D8%B4%D8%A7%D9%87_%D8%A8%D9%87_%D8%A7%D8%B1%D9%88%D9%BE%D8%A7,,Event
آغاز عملیات کربلای ۱۰,1366,1,25,https://fa.wikipedia.org/wiki/%D8%B9%D9%85%D9%84%DB%8C%D8%A7%D8%AA_%DA%A9%D8%B1%D8%A8%D9%84%D8%A7%DB%8C_%DB%B1%DB%B0,,Event
توافق‌نامه ژنو,1367,1,25,https://fa.wikipedia.org/wiki/%D8%AA%D9%88%D8%A7%D9%81%D9%82%D9%86%D8%A7%D9%85%D9%87_%DA%98%D9%86%D9%88_(%DB%B1%DB%B9%DB%B8%DB%B8),,Event
سیل ۱۳۹۶ شمال غرب ایران,1396,1,25,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D9%84_%DB%B1%DB%B3%DB%B9%DB%B6_%D8%B4%D9%85%D8%A7%D9%84_%D8%BA%D8%B1%D8%A8_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,,Event
توقیف کشتی ام‌اس‌سی آریس توسط ایران,1403,1,25,https://fa.wikipedia.org/wiki/%D8%AA%D9%88%D9%82%DB%8C%D9%81_%DA%A9%D8%B4%D8%AA%DB%8C_%D8%A7%D9%85%E2%80%8C%D8%A7%D8%B3%E2%80%8C%D8%B3%DB%8C_%D8%A2%D8%B1%DB%8C%D8%B3_%D8%AA%D9%88%D8%B3%D8%B7_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,,Event
حمله هوایی ایران به اسرائیل,1403,1,25,https://fa.wikipedia.org/wiki/%D8%AD%D9%85%D9%84%D9%87_%D8%A2%D9%88%D8%B1%DB%8C%D9%84_%DB%B2%DB%B0%DB%B2%DB%B4_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86_%D8%A8%D9%87_%D8%A7%D8%B3%D8%B1%D8%A7%D8%A6%DB%8C%D9%84,,Event
برگزاری انتخابات دوره دوم مجلس شورای اسلامی,1363,1,26,https://fa.wikipedia.org/wiki/%D8%AF%D9%88%D8%B1%D9%87_%D8%AF%D9%88%D9%85_%D9%85%D8%AC%D9%84%D8%B3_%D8%B4%D9%88%D8%B1%D8%A7%DB%8C_%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C,,Event
آغاز ناآرامی‌های ۱۳۸۴ اهواز,1384,1,26,https://fa.wikipedia.org/wiki/%D9%86%D8%A7%D8%A2%D8%B1%D8%A7%D9%85%DB%8C%E2%80%8C%D9%87%D8%A7%DB%8C_%DB%B1%DB%B3%DB%B8%DB%B4_%D8%A7%D9%87%D9%88%D8%A7%D8%B2,,Event
رسانه‌های ایران به نقل از دادستان ماهشهر گزارش کردند که دست و پای یک زندانی که همدست یک سارق مسلح اعدام شده در این شهر بود، قطع شده‌ است,1386,1,26,https://fa.wikipedia.org/wiki/%D9%82%D8%B7%D8%B9_%D8%AF%D8%B3%D8%AA_%D8%AF%D8%B1_%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C_%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,,Event
حادثه ۲۶ فروردین ۱۳۸۷ فروند سوخو-۲۴ نهاجا,1387,1,26,https://fa.wikipedia.org/wiki/%D9%81%D9%87%D8%B1%D8%B3%D8%AA_%D8%B3%D8%A7%D9%86%D8%AD%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C_%D9%87%D9%88%D8%A7%DB%8C%DB%8C_%D8%AF%D8%B1_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,,Event
آغاز اعتراضات ۱۳۹۰ خوزستان,1390,1,26,https://fa.wikipedia.org/wiki/%D8%A7%D8%B9%D8%AA%D8%B1%D8%A7%D8%B6%D8%A7%D8%AA_%DB%B1%DB%B3%DB%B9%DB%B0_%D8%AE%D9%88%D8%B2%D8%B3%D8%AA%D8%A7%D9%86,,Event
رسوایی جنسی دیپلمات جمهوری اسلامی در برزیل,1391,1,26,https://fa.wikipedia.org/wiki/%D8%B1%D8%B3%D9%88%D8%A7%DB%8C%DB%8C_%D8%AC%D9%86%D8%B3%DB%8C_%D8%AF%DB%8C%D9%BE%D9%84%D9%85%D8%A7%D8%AA_%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C_%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C_%D8%AF%D8%B1_%D8%A8%D8%B1%D8%B2%DB%8C%D9%84,,Event
کشته شدن دو شهروند ایرانی توسط مرزبانی ترکیه,1400,1,26,https://fa.wikipedia.org/wiki/%DA%A9%D8%B4%D8%AA%D9%87_%D8%B4%D8%AF%D9%86_%D8%AF%D9%88_%D8%B4%D9%87%D8%B1%D9%88%D9%86%D8%AF_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86%DB%8C_%D8%AA%D9%88%D8%B3%D8%B7_%D9%85%D8%B1%D8%B2%D8%A8%D8%A7%D9%86%DB%8C_%D8%AA%D8%B1%DA%A9%DB%8C%D9%87,,Event
زمین‌لرزه ۱۳۹۲ سراوان,1392,1,27,https://fa.wikipedia.org/wiki/%D8%B2%D9%85%DB%8C%D9%86%E2%80%8C%D9%84%D8%B1%D8%B2%D9%87_%DB%B1%DB%B3%DB%B9%DB%B2_%D8%B3%D8%B1%D8%A7%D9%88%D8%A7%D9%86,,Event
عروسکها,1346,1,28,https://fa.wikipedia.org/wiki/%D8%B9%D8%B1%D9%88%D8%B3%DA%A9%E2%80%8C%D9%87%D8%A7_(%D8%A8%D9%87%D8%B1%D8%A7%D9%85_%D8%A8%DB%8C%D8%B6%D8%A7%DB%8C%DB%8C),,Event
میدان باغ کرمان,1380,1,28,https://fa.wikipedia.org/wiki/%D9%85%DB%8C%D8%AF%D8%A7%D9%86_%D8%A8%D8%A7%D8%BA_(%D8%A7%D8%B1%DA%AF),,Event
موزه هنرهای معاصر فلسطین,1385,1,28,https://fa.wikipedia.org/wiki/%D9%85%D9%88%D8%B2%D9%87_%D9%87%D9%86%D8%B1%D9%87%D8%A7%DB%8C_%D9%85%D8%B9%D8%A7%D8%B5%D8%B1_%D9%81%D9%84%D8%B3%D8%B7%DB%8C%D9%86,,Event
پنج‌شنبه سیاه اوین,1393,1,28,https://fa.wikipedia.org/wiki/%D9%BE%D9%86%D8%AC%E2%80%8C%D8%B4%D9%86%D8%A8%D9%87_%D8%B3%DB%8C%D8%A7%D9%87_%D8%A7%D9%88%DB%8C%D9%86,,Event
حادثه ۲۸ فروردین ۱۳۹۷ فروند بالگرد,1397,1,28,https://fa.wikipedia.org/wiki/%D9%81%D9%87%D8%B1%D8%B3%D8%AA_%D8%B3%D8%A7%D9%86%D8%AD%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C_%D9%87%D9%88%D8%A7%DB%8C%DB%8C_%D8%AF%D8%B1_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,,Event
اجرای حکم قطع دست یک متهم به سرقت و قتل در زندان عادل‌آباد شیراز,1396,1,29,https://fa.wikipedia.org/wiki/%D9%82%D8%B7%D8%B9_%D8%AF%D8%B3%D8%AA_%D8%AF%D8%B1_%D8%AC%D9%85%D9%87%D9%88%D8%B1%DB%8C_%D8%A7%D8%B3%D9%84%D8%A7%D9%85%DB%8C_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,,Event
زمین‌لرزه ۱۴۰۰ بندر گناوه,1400,1,29,https://fa.wikipedia.org/wiki/%D8%B2%D9%85%DB%8C%D9%86%E2%80%8C%D9%84%D8%B1%D8%B2%D9%87_%DB%B1%DB%B4%DB%B0%DB%B0_%D8%A8%D9%86%D8%AF%D8%B1_%DA%AF%D9%86%D8%A7%D9%88%D9%87,,Event
حادثه ۲۹ فروردین ۱۴۰۱ فروند بوئینگ ۷۳۷ هواپیمایی کاسپین,1401,1,29,https://fa.wikipedia.org/wiki/%D9%81%D9%87%D8%B1%D8%B3%D8%AA_%D8%B3%D8%A7%D9%86%D8%AD%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C_%D9%87%D9%88%D8%A7%DB%8C%DB%8C_%D8%AF%D8%B1_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,,Event
آغاز نخستین سفر ناصرالدین‌شاه به اروپا,1252,1,30,https://fa.wikipedia.org/wiki/%D8%B3%D9%81%D8%B1%D9%87%D8%A7%DB%8C_%D9%86%D8%A7%D8%B5%D8%B1%D8%A7%D9%84%D8%AF%DB%8C%D9%86%E2%80%8C%D8%B4%D8%A7%D9%87_%D8%A8%D9%87_%D8%A7%D8%B1%D9%88%D9%BE%D8%A7,,Event
حادثه معدن باب نیزو,1388,1,30,https://fa.wikipedia.org/wiki/%D8%AD%D8%A7%D8%AF%D8%AB%D9%87_%D9%85%D8%B9%D8%AF%D9%86_%D8%A8%D8%A7%D8%A8_%D9%86%DB%8C%D8%B2%D9%88,,Event
رسوایی سیسمونی گیت,1401,1,30,https://fa.wikipedia.org/wiki/%D8%B3%DB%8C%D8%B3%D9%85%D9%88%D9%86%DB%8C_%DA%AF%DB%8C%D8%AA,,Event
آغاز اعتراضات ۱۴۰۱ مالباختگان ایران,1401,1,30,https://fa.wikipedia.org/wiki/%D8%A7%D8%B9%D8%AA%D8%B1%D8%A7%D8%B6%D8%A7%D8%AA_%DB%B1%DB%B4%DB%B0%DB%B1_%D9%85%D8%A7%D9%84%D8%A8%D8%A7%D8%AE%D8%AA%DA%AF%D8%A7%D9%86_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,,Event
حادثه ۳۱ فروردین ۱۳۸۴ فروند بوئینگ ۷۰۷ هواپیمایی ساها,1384,1,31,https://fa.wikipedia.org/wiki/%D9%81%D9%87%D8%B1%D8%B3%D8%AA_%D8%B3%D8%A7%D9%86%D8%AD%D9%87%E2%80%8C%D9%87%D8%A7%DB%8C_%D9%87%D9%88%D8%A7%DB%8C%DB%8C_%D8%AF%D8%B1_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,,Event
حمله اسرائیل به ایران,1403,1,31,https://fa.wikipedia.org/wiki/%D8%AD%D9%85%D9%84%D9%87_%D8%A7%D8%B3%D8%B1%D8%A7%D8%A6%DB%8C%D9%84_%D8%A8%D9%87_%D8%A7%DB%8C%D8%B1%D8%A7%D9%86,,Event
